#表記	よみ	クラス
DuckDuckGo	だっくだっくごー	固有名詞
ffmpeg	えふえふえむぺぐ	固有名詞
VRM	ぶいあーるえむ	固有名詞
VSeeFace	ぶいすぃーふぇいす	固有名詞
PeerCast	ぴあきゃすと	固有名詞
ユーロトラックシミュレーター	ゆーろとらっくしみゅれーたー	固有名詞
Slay the Spire	すれいざすぱいあ	固有名詞
AviUtl	えーぶいあいゆーてぃる	固有名詞
トラックシミュレーター	とらっくしみゅれーたー	
Godot	ごどー	固有名詞
Godot	ごどっと	固有名詞
Dark Soul	だーくそうる	固有名詞
Castlevania	きゃっするばにあ	固有名詞
悪魔城	あくまじょう	固有名詞
