#表記	読み	クラス
#---ゲーム内固有名詞---
エターナルリターン	えたーなるりたーん	固有名詞
A-Coin	えーこいん	固有名詞
イベントNP	いべんとえぬぴー	固有名詞
NP	えぬぴー	固有名詞
#---実況用語---
生命戦争	せいめいせんそう	
隕石戦争	いんせきせんそう	
アルファ戦争	あるふぁせんそう	
オメガ戦争	おめがせんそう	
ウィク戦争	うぃくせんそう	
アグロ	あぐろ	
ウィク	うぃく	名前
ウルト	うると	固有名詞
壁ドン	かべどん	
キル数	きるすう	
チームキル	ちーむきる	
#---MOBA用語---
OTP	おーてぃーぴー	
ワントリックポニー	わんとりっくぽにー	固有名詞
CC	しーしー	
MOBA	もば	固有名詞
スノーボール	すのーぼーる	
Q	きゅー	固有名詞
W	だぶりゅー	固有名詞
E	いー	固有名詞
R	あーる	固有名詞
アルティメット	あるてぃめっと	固有名詞
挑発	ちょうはつ	
タウント	たうんと	固有名詞
イニシエート	いにしえーと	
