サイラッハ	さいらっは	名前(名)
サガ	さが	名前(名)
シージ	しーじ	名前(名)
バグパイプ	ばぐぱいぶ	名前(名)
フレイムテイル	ふれいむている	名前(名)
アイリーニ	あいりーに	名前(名)
シルバーアッシュ	しるばーあっしゅ	名前(名)
スカジ	すかじ	名前(名)
スルト	すると	名前(名)
ソーンズ	そーんず	名前(名)
チェン	ちぇん	名前(名)
パラス	ぱらす	名前(名)
ブレイズ	ぶれいず	名前(名)
ヘラグ	へらぐ	名前(名)
マウンテン	まうんてん	名前(名)
ムリナール	むりなーる	名前(名)
サリア	さりあ	名前(名)
ニェン	にぇん	名前(名)
ブレミシャイン	ぶれみしゃいん	名前(名)
ホシグマ	ほしぐま	名前(名)
ホルン	ほるん	名前(名)
マドロック	まどろっく	名前(名)
ユーネクテス	ゆーねくてす	名前(名)
Ash	あっしゅ	名前(名)
Ｗ	だぶりゅ	名前(名)
アルケット	あるけっと	名前(名)
エクシア	えくしあ	名前(名)
シュヴァルツ	しゅゔぁるつ	名前(名)
パゼオンカ	ばぜおんか	名前(名)
ファートゥース	ふぁーとぅーす	名前(名)
フィアメッタ	ふぃあめった	名前(名)
ロサ	ろさ	名前(名)
ロスモンティス	ろすもんてぃす	名前(名)
イフリータ	いふりーた	名前(名)
エイヤフィヤトラ	えいやふぃやとら	名前(名)
エーベンホルツ	えーべんほるつ	名前(名)
カーネリアン	かーねりあん	名前(名)
ケオベ	けおべ	名前(名)
ゴールデングロー	ごーるでんぐろー	名前(名)
シー	しー	名前(名)
パッセンジャー	ぱっせんじゃー	名前(名)
モスティマ	もすてぃま	名前(名)
ケルシー	けるしー	名前(名)
シャイニング	しゃいにんぐ	名前(名)
ナイチンゲール	ないちんげーる	名前(名)
ルーメン	るーめん	名前(名)
アンジェリーナ	あんじぇりーな	名前(名)
スズラン	すずらん	名前(名)
ノーシス	のーしす	名前(名)
マゼラン	まぜらん	名前(名)
リィン	りぃん	名前(名)
ア	あ	名前(名)
ウィーディ	うぃーでぃ	名前(名)
グレイディーア	ぐれいでぃーあ	名前(名)
ドロシー	どろしー	名前(名)
ファントム	ふぁんとむ	名前(名)
ミヅキ	みづき	名前(名)
リー	りー	名前(名)
